zone,3PL,slab,cost
A,7.0,0.25,20
A,7.0,0.5,22
A,7.0,1.0,10
B,7.0,0.25,22
B,7.0,0.5,25
B,7.0,1.0,12
C,7.0,0.25,28
C,7.0,0.5,30
C,7.0,1.0,16
D,7.0,0.25,30
D,7.0,0.5,33
D,7.0,1.0,20
E,7.0,0.25,40
E,7.0,0.5,42
E,7.0,1.0,30
COD,7.0,1.0,18
A,15.0,0.25,23
A,15.0,0.5,25
A,15.0,1.0,10
B,15.0,0.25,28
B,15.0,0.5,30
B,15.0,1.0,15
C,15.0,0.25,33
C,15.0,0.5,36
C,15.0,1.0,22
D,15.0,0.25,39
D,15.0,0.5,42
D,15.0,1.0,29
E,15.0,0.25,43
E,15.0,0.5,48
E,15.0,1.0,34
COD,15.0,1.0,20
A,12.0,0.25,16
A,12.0,0.5,18
A,12.0,1.0,12
B,12.0,0.25,18
B,12.0,0.5,20
B,12.0,1.0,14
C,12.0,0.25,25
C,12.0,0.5,27
C,12.0,1.0,20
D,12.0,0.25,28
D,12.0,0.5,32
D,12.0,1.0,22
E,12.0,0.25,38
E,12.0,0.5,40
E,12.0,1.0,30
COD,12.0,1.0,18
A,10.0,0.25,16
A,10.0,0.5,18
A,10.0,1.0,16
B,10.0,0.25,18
B,10.0,0.5,20
B,10.0,1.0,18
C,10.0,0.25,25
C,10.0,0.5,27
C,10.0,1.0,25
D,10.0,0.25,28
D,10.0,0.5,32
D,10.0,1.0,30
E,10.0,0.25,38
E,10.0,0.5,40
E,10.0,1.0,38
COD,10.0,1.0,19
A,14.0,0.25,16
A,14.0,0.5,18
A,14.0,1.0,12
B,14.0,0.25,18
B,14.0,0.5,20
B,14.0,1.0,14
C,14.0,0.25,25
C,14.0,0.5,27
C,14.0,1.0,20
D,14.0,0.25,28
D,14.0,0.5,32
D,14.0,1.0,22
E,14.0,0.25,38
E,14.0,0.5,40
E,14.0,1.0,30
COD,14.0,1.0,18
